Table Name,State Code,Distt. Code,Tehsil Code,Town Code,Area Name,Total/ Rural/ Urban,Total - Persons,Total - Males,Total - Females,Religious communities - Hindu - Persons,Religious communities - Hindu - Males,Religious communities - Hindu - Females,Religious communities - Muslim - Persons,Religious communities - Muslim - Males,Religious communities - Muslim - Females,Religious communities - Christian - Persons,Religious communities - Christian - Males,Religious communities - Christian - Females,Religious communities - Sikh - Persons,Religious communities - Sikh - Males,Religious communities - Sikh - Females,Religious communities - Buddhist - Persons,Religious communities - Buddhist - Males,Religious communities - Buddhist - Females,Religious communities - Jain - Persons,Religious communities - Jain - Males,Religious communities - Jain - Females,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Persons,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Males,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Females,Religious communities - Religion not stated - Persons,Religious communities - Religion not stated - Males,Religious communities - Religion not stated - Females
C0101,33,604,05702,000000,Sub-District - Sriperumbudur,Urban,290040,146778,143262,251436,127563,123873,18682,9369,9313,17907,8875,9032,86,46,40,100,49,51,283,150,133,55,26,29,1491,700,791
C0101,33,604,05702,629345,Ayyappanthangal (CT),Urban,23808,11950,11858,21366,10743,10623,686,349,337,1690,824,866,3,2,1,3,1,2,27,16,11,16,6,10,17,9,8
C0101,33,604,05702,629346,Mevalurkuppam (CT),Urban,3805,1894,1911,3505,1783,1722,40,23,17,236,70,166,1,0,1,2,2,0,0,0,0,0,0,0,21,16,5
C0101,33,604,05702,629347,Paraniputhur (CT),Urban,15225,7685,7540,13074,6610,6464,1025,500,525,1045,528,517,6,2,4,30,15,15,6,4,2,0,0,0,39,26,13
C0101,33,604,05702,629348,Mugalivakkam (CT),Urban,25117,12768,12349,21950,11163,10787,651,332,319,2320,1171,1149,5,2,3,7,3,4,28,16,12,0,0,0,156,81,75
C0101,33,604,05702,629349,Sikkarayapuram (CT),Urban,10187,5354,4833,9685,5096,4589,177,93,84,304,155,149,8,4,4,1,0,1,2,1,1,1,1,0,9,4,5
C0101,33,604,05702,629350,Kovur (CT),Urban,10961,5557,5404,9899,5018,4881,477,246,231,543,272,271,9,7,2,4,1,3,8,4,4,6,3,3,15,6,9
C0101,33,604,05702,629351,Gerugambakkam (CT),Urban,11551,5949,5602,10161,5282,4879,250,127,123,974,476,498,0,0,0,0,0,0,5,2,3,0,0,0,161,62,99
C0101,33,604,05702,629352,Manapakkam (CT),Urban,13344,6715,6629,11266,5672,5594,268,143,125,1574,792,782,10,5,5,4,2,2,11,6,5,13,5,8,198,90,108
C0101,33,604,05702,629353,Sirukalathur (CT),Urban,6117,3201,2916,5769,3030,2739,70,38,32,238,108,130,1,0,1,0,0,0,2,2,0,0,0,0,37,23,14
C0101,33,604,05702,629354,Molachur (CT),Urban,8887,4641,4246,6125,3238,2887,1270,658,612,1485,743,742,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5
